ord,edo,nom,patmat,birth,fm,part,postulo,eleccion,dsup,in1,out1,in2,out2,in3,out3,in4,dreran,race-after,repite,nota
1,ags,MARTHA CECILIA,MARQUEZ ALVARADO,1984,f,pt,pan-prd-mc,mayoria relativa,0,20180829,20220305,20220608,,,,,0,out-p-,,
2,ags,ADRIANA GUADALUPE,JURADO VALADEZ,,f,pan,pan-prd-mc,mayoria relativa,1,20220308,20220608,,,,,,0,out-p-,,
3,ags,JUAN ANTONIO,MARTIN DEL CAMPO MARTIN DEL CAMPO,1972,m,pan,pan-prd-mc,mayoria relativa,0,20180829,,,,,,,1,Reelected,,
4,ags,JUAN FRANCISCO,LARIOS ESPARZA,,m,pan,pan-prd-mc,mayoria relativa,1,,,,,,,,0,out-p-,,
5,ags,DANIEL,GUTIERREZ CASTORENA,1954,m,morena,morena-pt-pes,primera minoria,0,20180829,,,,,,,1,reran-,,
6,ags,ALEJANDRO,PONCE LARRINUA,,m,morena,morena-pt-pes,primera minoria,1,,,,,,,,0,out-p-,,
7,bc,JAIME,BONILLA VALDEZ,1950,m,pt,morena-pt-pes,mayoria relativa,0,20180829,20181206,,,,,,1,reran-beaten,62-sen,gano gubernatura
8,bc,GERARDO,NOVELO OSUNA,1972,m,morena,morena-pt-pes,mayoria relativa,1,20181206,,,,,,,0,out-p-,,
9,bc,ALEJANDRA DEL CARMEN,LEON GASTELUM,1976,f,mc,morena-pt-pes,mayoria relativa,0,20180829,20210307,20210325,,,,,0,out-p-,,morena > pt 9jul2020 pt > gpoPlural 15oct2021 gpoPlural > mc 21sep2022
10,bc,CLAUDIA,HERRERA RODRIGUEZ,,f,pes,morena-pt-pes,mayoria relativa,1,20210309,20210325,,,,,,0,out-p-,,
11,bc,GINA ANDREA,CRUZ BLACKLEDGE,1969,f,pan,pan-prd-mc,primera minoria,0,20180829,,,,,,,0,out-p-,63-sen,
12,bc,IRAIS MARIA,VAZQUEZ AGUIAR,,f,pan,pan-prd-mc,primera minoria,1,,,,,,,,0,out-p-,,
13,bcs,VICTOR MANUEL,CASTRO COSIO,1955,m,morena,morena-pt-pes,mayoria relativa,0,20180829,,,,,,,0,out-p-,,
14,bcs,RICARDO,VELAZQUEZ MEZA,,m,morena,morena-pt-pes,mayoria relativa,1,,,,,,,,0,out-p-,,
15,bcs,JESUS LUCIA,TRASVIÑA WALDENRATH,1954,f,morena,morena-pt-pes,mayoria relativa,0,20180829,,,,,,,1,Reelected,,
16,bcs,MONICA,TREVIZO VASQUEZ,,f,morena,morena-pt-pes,mayoria relativa,1,,,,,,,,0,out-p-,,
17,bcs,MARIA GUADALUPE,SALDAÑA CISNEROS,1972,f,pan,pan-prd-mc,primera minoria,0,20180829,,,,,,,0,out-p-,,
18,bcs,AUDELIA ESTHELA,VILLARREAL ZAVALA,,f,pan,pan-prd-mc,primera minoria,1,,,,,,,,0,out-p-,,
19,cam,ANIBAL,OSTOA ORTEGA,1949,m,morena,morena-pt-pes,mayoria relativa,0,20180829,,,,,,,1,Reelected,,
20,cam,ARTURO DEL CARMEN,MOO CAHUICH,,m,morena,morena-pt-pes,mayoria relativa,1,,,,,,,,0,out-p-,,
21,cam,CECILIA MARGARITA,SANCHEZ GARCIA,1959,f,pri,morena-pt-pes,mayoria relativa,0,20180829,,,,,,,0,out-p-,,switcher morena > pri 25oct2023
22,cam,LIDA,RUIZ HERNANDEZ,,f,morena,morena-pt-pes,mayoria relativa,1,,,,,,,,0,out-p-,,
23,cam,ROCIO ADRIANA,ABREU ARTIÑANO,1974,f,morena,pri-pvem-panal,primera minoria,0,20180829,,,,,,,0,out-p-,,switcher
24,cam,HILDA EUGENIA,VELAZQUEZ RODRIGUEZ,,f,morena,pri-pvem-panal,primera minoria,1,,,,,,,,0,out-p-,,
25,coa,SANTANA ARMANDO,GUADIANA TIJERINA,1946,m,morena,morena-pt-pes,mayoria relativa,0,20180829,20210101,20210615,20221231,20230612,20231023,,0,died-p-,,died cancer 26dec2023
26,coa,REYES,FLORES HURTADO,,m,morena,morena-pt-pes,mayoria relativa,1,20230208,20230612,20231024,,,,,0,out-p-,,
27,coa,EVA EUGENIA,GALAZ CALETTI,1945,f,morena,morena-pt-pes,mayoria relativa,0,20180829,,,,,,,0,out-p-,,
28,coa,MONICA,MONTERO CUELLAR,,f,morena,morena-pt-pes,mayoria relativa,1,,,,,,,,0,out-p-,,
29,coa,VERONICA,MARTINEZ GARCIA,1984,f,pri,pri-pvem-panal,primera minoria,0,20180829,,,,,,,0,out-p-,,
30,coa,LUISA IVONE,GALLEGOS MARTINEZ,,f,pri,pri-pvem-panal,primera minoria,1,,,,,,,,0,out-p-,,
31,col,JOEL,PADILLA PEÑA,1959,m,pt,morena-pt-pes,mayoria relativa,0,20180829,,,,,,,0,out-p-,,
32,col,EDUARDO,GUIA VELAZQUEZ,,m,pt,morena-pt-pes,mayoria relativa,1,,,,,,,,0,out-p-,,
33,col,GRICELDA,VALENCIA DE LA MORA,1973,f,morena,morena-pt-pes,mayoria relativa,0,20180829,,,,,,,0,out-p-,,
34,col,ANA MARIA,CONTRERAS RUIZ,,f,morena,morena-pt-pes,mayoria relativa,1,,,,,,,,0,out-p-,,
35,col,GABRIELA,BENAVIDES COBOS,1977,f,pvem,pri-pvem-panal,primera minoria,0,20180829,,,,,,,0,out-p-,,
36,col,SONIA ALEJANDRINA,MARTINEZ MENDOZA,,f,pvem,pri-pvem-panal,primera minoria,1,,,,,,,,0,out-p-,,
37,cps,OSCAR EDUARDO,RAMIREZ AGUILAR,1977,m,morena,morena-pt-pes,mayoria relativa,0,20180829,,,,,,,0,out-p-,,
38,cps,JOSE ANTONIO,AGUILAR CASTILLEJOS,,m,morena,morena-pt-pes,mayoria relativa,1,,,,,,,,0,out-p-,,
39,cps,SASIL DORA LUZ,DE LEON VILLARD,1982,f,morena,morena-pt-pes,mayoria relativa,0,20180829,,,,,,,1,Reelected,,
