ord,edon,id,nom,patmat,birth,fm,part,postulo,eleccion,dsup,in1,out1,repite,nota
1,1,ags1p,JUAN ANTONIO,MARTIN DEL CAMPO MARTIN DEL CAMPO,1972,m,,pan.pri.prd,mayoria relativa,0,,,64s-65s-66s-67s,
2,1,ags1s,FRANCISCO JAVIER,LUEVANO NUÑEZ,,,,pan.pri.prd,mayoria relativa,1,,,,
3,1,ags2p,MARIA DE JESUS,DIAZ MARMOLEJO,,,,pan.pri.prd,mayoria relativa,0,,,,
4,1,ags2s,PALOMA CECILIA,AMEZQUITA CARREON,,,,pan.pri.prd,mayoria relativa,1,,,,
5,1,ags3p,NORA,RUVALCABA GOMEZ,,,,pvem.pt.morena,primera minoria,0,,,,
6,1,ags3s,JENNIFER KRISTEL,PARRA SALAS,,,,pvem.pt.morena,primera minoria,1,,,,
7,2,bc1p,JULIETA ANDREA,RAMIREZ PADILLA,,,morena,morena,mayoria relativa,0,,,,
8,2,bc1s,CLEOTILDE,MOLINA LOPEZ,,,morena,morena,mayoria relativa,1,,,,
9,2,bc2p,ARMANDO,AYALA ROBLES,,,morena,morena,mayoria relativa,0,,,,
10,2,bc2s,JUAN,MELENDREZ ESPINOZA,,,morena,morena,mayoria relativa,1,,,,
11,2,bc3p,GUSTAVO,SANCHEZ VASQUEZ,,,,pan.pri.prd,primera minoria,0,,,,
12,2,bc3s,JOSE MAXIMO,GARCIA LOPEZ,,,,pan.pri.prd,primera minoria,1,,,,
13,3,bcs1p,JESUS LUCIA,TRASVIÑA WALDENRATH,1954,f,,pvem.pt.morena,mayoria relativa,0,,,64s-65s-66s-67s,
14,3,bcs1s,MARIA ELBA,LOMBERA ROMERO,,,,pvem.pt.morena,mayoria relativa,1,,,,
15,3,bcs2p,HOMERO,DAVIS CASTRO,,,,pvem.pt.morena,mayoria relativa,0,,,,
16,3,bcs2s,EDA MARIA,PALACIOS MARQUEZ,,,,pvem.pt.morena,mayoria relativa,1,,,,
17,3,bcs3p,SUSANA DEL CARMEN,ZATARAIN GARCIA,,,,pan.pri.prd,primera minoria,0,,,,
18,3,bcs3s,YESENIA,RAMIREZ SALDAÑA,,,,pan.pri.prd,primera minoria,1,,,,
19,4,cam1p,MARIA MARTINA,KANTON CAN,,,,pvem.pt.morena,mayoria relativa,0,,,,
20,4,cam1s,IXCHEL VICTORIA,PAT CAAMAL,,,,pvem.pt.morena,mayoria relativa,1,,,,
21,4,cam2p,ANIBAL,OSTOA ORTEGA,,,,pvem.pt.morena,mayoria relativa,0,,,,
22,4,cam2s,CARLOS ENRIQUE,MARTINEZ AKE,,,,pvem.pt.morena,mayoria relativa,1,,,,
23,4,cam3p,SIN CANDIDATURA,,,,mc,mc,primera minoria,0,,,,
24,4,cam3s,FRANCISCO DANIEL,BARREDA PAVON,,,mc,mc,primera minoria,1,,,,
25,5,coa1p,LUIS FERNANDO,SALAZAR FERNANDEZ,,,,pvem.pt.morena,mayoria relativa,0,,,,
26,5,coa1s,WENDY,BALCAZAR PEREZ,,,,pvem.pt.morena,mayoria relativa,1,,,,
27,5,coa2p,CECILIA GUADALUPE,GUADIANA MANDUJANO,,,,pvem.pt.morena,mayoria relativa,0,,,,
28,5,coa2s,ROCIO GUADALUPE,DE AGUINAGA PERAZA,,,,pvem.pt.morena,mayoria relativa,1,,,,
29,5,coa3p,MIGUEL ANGEL,RIQUELME SOLIS,,,,pan.pri.prd,primera minoria,0,,,gob-66s-67s,
30,5,coa3s,GABRIEL,ELIZONDO PEREZ,,,,pan.pri.prd,primera minoria,1,,,,
31,6,col1p,VIRGILIO,MENDOZA AMEZCUA,,,,pvem.pt.morena,mayoria relativa,0,,,,
32,6,col1s,EDGAR NOE,LARIOS CARRASCO,,,,pvem.pt.morena,mayoria relativa,1,,,,
33,6,col2p,ANA KAREN,HERNANDEZ ACEVES,,,,pvem.pt.morena,mayoria relativa,0,,,,
34,6,col2s,CAROLINA,LARA PADILLA,,,,pvem.pt.morena,mayoria relativa,1,,,,
35,6,col3p,MELY,ROMERO CELIS,,,,pan.pri.prd,primera minoria,0,,,,
36,6,col3s,MARTHA LETICIA,SOSA GOVEA,,,,pan.pri.prd,primera minoria,1,,,,
37,7,cps1p,SASIL DORA LUZ,DE LEON VILLARD,1982,f,morena,morena,mayoria relativa,0,,,64s-65s-66s-67s,
38,7,cps1s,ITZEL FRANCISCA,DE LEON VILLARD,,,morena,morena,mayoria relativa,1,,,,
39,7,cps2p,JOSE MANUEL,CRUZ CASTELLANOS,,,morena,morena,mayoria relativa,0,,,,
40,7,cps2s,JULIO CESAR,RINCON FERNANDEZ,,,morena,morena,mayoria relativa,1,,,,
41,7,cps3p,LUIS ARMANDO,MELGAR BRAVO,,,pvem,pvem,primera minoria,0,,,64d-66s-67s,
42,7,cps3s,ERASMO CATARINO,GONZALEZ DELGADO,,,pvem,pvem,primera minoria,1,,,,
43,8,cua1p,ANDREA,CHAVEZ TREVIÑO,,,,pvem.pt.morena,mayoria relativa,0,,,,
44,8,cua1s,NORA ELENA,YU HERNANDEZ,,,,pvem.pt.morena,mayoria relativa,1,,,,
45,8,cua2p,JUAN CARLOS,LOERA DE LA ROSA,,,,pvem.pt.morena,mayoria relativa,0,,,,
46,8,cua2s,LUIS MARIO,BAEZA CANO,,,,pvem.pt.morena,mayoria relativa,1,,,,
47,8,cua3p,MARIO HUMBERTO,VAZQUEZ ROBLES,,,,pan.pri.prd,primera minoria,0,,,,
48,8,cua3s,ADRIANA,FUENTES TELLEZ,,,,pan.pri.prd,primera minoria,1,,,,
49,9,df1p,OMAR HAMID,GARCIA HARFUCH,,,,pvem.pt.morena,mayoria relativa,0,,,,
50,9,df1s,FRANCISCO,CHIGUIL FIGUEROA,,,,pvem.pt.morena,mayoria relativa,1,,,,
51,9,df2p,ERNESTINA,GODOY RAMOS,,,,pvem.pt.morena,mayoria relativa,0,,,,
52,9,df2s,KAREN,CASTREJON TRUJILLO,,,,pvem.pt.morena,mayoria relativa,1,,,,
53,9,df3p,CYNTHIA ILIANA,LOPEZ CASTRO,,,,pan.pri.prd,primera minoria,0,,,d64-d65-s66-s67,Nuestra alumna
54,9,df3s,ALICIA VIRGINIA,TELLEZ SANCHEZ,,,,pan.pri.prd,primera minoria,1,,,,
55,10,dgo1p,ALEJANDRO,GONZALEZ YAÑEZ,1956,m,,pvem.pt.morena,mayoria relativa,0,,,64s-65s-66s-67s,
56,10,dgo1s,JOSE ISIDRO BERTIN,ARIAS MEDRANO,,,,pvem.pt.morena,mayoria relativa,1,,,,
57,10,dgo2p,LILIA MARGARITA,VALDEZ MARTINEZ,1955,f,,pvem.pt.morena,mayoria relativa,0,,,64s-65s-66s-67s,
58,10,dgo2s,MARIA DE LOS ANGELES,ROJAS RIVERA,,,,pvem.pt.morena,mayoria relativa,1,,,,
59,10,dgo3p,GINA GERARDINA,CAMPUZANO GONZALEZ,,,,pan.pri.prd,primera minoria,0,,,,
60,10,dgo3s,MARIA SALOME,ELYD SAENZ,,,,pan.pri.prd,primera minoria,1,,,,
61,11,gua1p,FRANCISCO RICARDO,SHEFFIELD PADILLA,,,,pvem.pt.morena,mayoria relativa,0,,,,
62,11,gua1s,DIEGO,SANDOVAL VENTURA,,,,pvem.pt.morena,mayoria relativa,1,,,,
63,11,gua2p,VIRGINIA MARIE,MAGAÑA FONSECA,,,,pvem.pt.morena,mayoria relativa,0,,,,
64,11,gua2s,FRAISEL GUADALUPE,CAPETILLO LOPEZ,,,,pvem.pt.morena,mayoria relativa,1,,,,
65,11,gua3p,MIGUEL,MARQUEZ MARQUEZ,,,pan,pan,primera minoria,0,,,,
66,11,gua3s,DAVID,NOVOA TOSCANO,,,pan,pan,primera minoria,1,,,,
67,12,gue1p,BEATRIZ,MOJICA MORGA,,,morena,morena,mayoria relativa,0,,,,
