"ord","ses","n","file","fch","tit","leg","sen","pty","vot"
101140,"60_1",373,"12.html",20060905,"TIT MISSING",60,NA,NA,NA
101521,"60_1",374,"14.html",20060905,"TIT MISSING",60,NA,NA,NA
101902,"60_1",375,"19.html",20060905,"Proposición con punto de Acuerdo relativo a los atentados sufridos por el periódico “Por Esto”, de Mérida, Yucatán, con base en lo dispuesto en los artículos 58 y 59 del Reglamento para el Gobierno Interior del Congreso General de los Estados Unidos Mexicanos, y en razón de las siguientes",60,NA,NA,NA
102279,"60_1",376,"34.html",20060912,"Minuta proyecto de Decreto que reforma y adiciona diversas disposiciones de la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos.",60,NA,NA,NA
102550,"60_1",377,"76.html",20060926,"TIT MISSING",60,NA,NA,NA
103024,"60_1",378,"80.html",20060928,"Proyecto de Decreto por el que se solicita autorización para que el ciudadano Presidente de los Estados Unidos Mexicanos, Vicente Fox Quesada, pueda ausentarse del territorio nacional los días 9 y 10 de octubre de 2006, con el propósito de realizar una visita de trabajo a la República de Guatemala.",60,NA,NA,NA
103309,"60_1",379,"133.html",20061017,"Acuerdo suscrito por los integrantes de la Junta de Coordinación Política, por el que se emiten las reglas provisionales en relación con la Gaceta del Senado.",60,NA,NA,NA
103670,"60_1",380,"133.html",20061017,"Acuerdo suscrito por los integrantes de la Junta de Coordinación Política, por el que se emiten las reglas provisionales en relación con la Gaceta del Senado.",60,NA,NA,NA
103975,"60_1",381,"155.html",20061030,"DECRETO POR EL QUE SE CONCEDE AUTORIZACION AL C. PRESIDENTE DE LOS ESTADOS UNIDOS MEXICANOS, VICENTE FOX QUESADA, PARA AUSENTARSE DEL TERRITORIO NACIONAL DEL 10 AL 19 DE NOVIEMBRE DE 2006, A EFECTO DE QUE REALICE UNA VISITA DE TRABAJO A LA COMUNIDAD DE AUSTRALIA, DEL 12 AL 16 DE NOVIEMBRE, ASI COMO DEL 16 AL 19 DE NOVIEMBRE PARA QUE PARTICIPE EN LA XIV REUNION DE LIDERES DEL FORO DE COOPERACION ECONOMICA ASIA-PACIFICO (APEC), QUE SE CELEBRARA EN LA CIUDAD DE HANOI, REPUBLICA SOCIALISTA DE VIETNAM",60,NA,NA,NA
104316,"60_1",382,"165.html",20061031,"PROYECTO DE DECRETO EN RELACION CON LAS TERNAS ENVIADAS POR LA SUPREMA CORTE DE JUSTICIA DE LA NACION PARA ELEGIR MAGISTRADOS DE LA SALA SUPERIOR DEL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DE LA FEDERACION",60,NA,NA,NA
104899,"60_1",383,"165.html",20061031,"PROYECTO DE DECRETO EN RELACION CON LAS TERNAS ENVIADAS POR LA SUPREMA CORTE DE JUSTICIA DE LA NACION PARA ELEGIR MAGISTRADOS DE LA SALA SUPERIOR DEL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DE LA FEDERACION",60,NA,NA,NA
105412,"60_1",384,"179.html",20061024,"PERMISOS PARA ACEPTAR Y USAR CONDECORACIONES",60,NA,NA,NA
105703,"60_1",385,"180.html",20061024,"PROYECTO DE DECRETO POR EL QUE SE CONCEDE AUTORIZACION AL C. VICENTE FOX QUESADA, PRESIDENTE DE LOS ESTADOS UNIDOS MEXICANOS, PARA AUSENTARSE DEL TERRITORIO NACIONAL DEL 3 AL 6 DE NOVIEMBRE DE 2006, CON EL PROPOSITO DE PARTICIPAR EN LA XVI CUMBRE IBEROAMERICANA DE JEFES DE ESTADO, QUE SE REALIZARA EN MONTEVIDEO, REPUBLICA ORIENTAL DEL URUGUAY, EL 4 Y 5 DE NOVIEMBRE DE 2006",60,NA,NA,NA
105976,"60_1",386,"194.html",20061026,"TIT MISSING",60,NA,NA,NA
106622,"60_1",387,"209.html",20061107,"Punto de Acuredo Se exhorta a la administración entrante a que en el Plan Nacional de Desarrollo 2007-2012 contemple la creación de un programa especial de combate al desempleo, donde se delimiten las estrategias y acciones a seguir para elevar el nivel y la calidad del empleo en el país. si es de aprobarse el punto de Acuerdo",60,NA,NA,NA
107792,"60_1",389,"215.html",20061109,"TIT MISSING",60,NA,NA,NA
108142,"60_1",390,"236.html",20061114,"PERMISOS PARA ACEPTAR Y USAR CONDECORACIONES, PARA DESEMPEÑAR CARGOS DE CONSULES HONORARIOS Y PARA PRESTAR SERVICIOS",60,NA,NA,NA
108470,"60_1",391,"238.html",20061114,"PERMISOS PARA ACEPTAR Y USAR CONDECORACIONES, PARA DESEMPEÑAR CARGOS DE CONSULES HONORARIOS Y PARA PRESTAR SERVICIOS",60,NA,NA,NA
108798,"60_1",392,"241.html",20061114,"TIT MISSING",60,NA,NA,NA
109412,"60_1",393,"263.html",20061123,"DECRETO QUE REFORMA Y ADICIONA LOS ARTICULOS 39 Y 43 DE LA LEY ORGANICA DEL CONGRESO GENERAL DE LOS ESTADOS UNIDOS MEXICANOS",60,NA,NA,NA
109751,"60_1",394,"264.html",20061123,"PROYECTO DE DECRETO QUE REFORMA, ADICIONA Y DEROGA DIVERSAS DISPOSICIONES DE LA LEY DE COMERCIO EXTERIOR",60,NA,NA,NA
110071,"60_1",395,"289.html",20061216,"PROYECTO DE DECRETO EN RELACION CON LA TERNA ENVIADA POR LA SUPREMA CORTE DE JUSTICIA DE LA NACION PARA ELEGIR UN MAGISTRADO DE LA SALA SUPERIOR DEL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DE LA FEDERACION",60,NA,NA,NA
110433,"60_1",396,"321.html",20061229,"TIT MISSING",60,NA,NA,NA
110731,"60_1",397,"404.html",20061212,"PROYECTO DE DECRETO EN RELACION CON LA TERNA DE CANDIDATOS A MINISTRO DE LA SUPREMA CORTE DE JUSTICIA DE LA NACION",60,NA,NA,NA
111101,"60_1",398,"410.html",20061214,"SEGUNDO PROTOCOLO ADICIONAL DEL ACUERDO DE ASOCIACION ECONOMICA, CONCERTACION POLITICA Y COOPERACION ENTRE LOS ESTADOS UNIDOS MEXICANOS, POR UNA PARTE, Y LA COMUNIDAD EUROPEA Y SUS ESTADOS MIEMBROS, POR OTRA, FIRMADO EN LA CIUDAD DE MEXICO EL 29 DE NOVIEMBRE DE 2006",60,NA,NA,NA
111443,"60_1",399,"418.html",20061214,"PERMISOS PARA ACEPTAR Y USAR CONDECORACIONES, PARA ACEPTAR Y DESEMPEÑAR CARGO DE CONSUL HONORARIO Y PARA PRESTAR SERVICIOS",60,NA,NA,NA
111790,"60_1",400,"435.html",20061214,"PROYECTO DE DECRETO QUE EXPIDE LA LEY GENERAL DE ACCESO DE LAS MUJERES A UNA VIDA LIBRE DE VIOLENCIA",60,NA,NA,NA
112132,"60_1",401,"451.html",20061220,"PROYECTO DE DECRETO POR EL QUE SE CONCEDE AUTORIZACION AL CIUDADANO FELIPE DE JESUS CALDERON HINOJOSA, PRESIDENTE CONSTITUCIONAL DE LOS ESTADOS UNIDOS MEXICANOS, PARA AUSENTARSE DEL TERRITORIO NACIONAL LOS DIAS 9 Y 10 DE ENERO DE 2007,A EFECTO DE PARTICIPAR EN LA CEREMONIA DE TRANSMISION DEL MANDO PRESIDENCIAL EN LA REPUBLICA DE NICARAGUA",60,NA,NA,NA
112493,"60_1",402,"452.html",20061220,"PROYECTO DE DECRETO POR EL QUE SE CONCEDE AUTORIZACION AL CIUDADANO FELIPE DE JESUS CALDERON HINOJOSA, PRESIDENTE CONSTITUCIONAL DE LOS ESTADOS UNIDOS MEXICANOS, PARA AUSENTARSE DEL TERRITORIO NACIONAL LOS DIAS 15 Y 16 DE ENERO DE 2007, A FIN DE EFECTUAR UNA VISITA A LA REPUBLICA DE EL SALVADOR, PARA PARTICIPAR EN LA CELEBRACION DEL XV ANIVERSARIO DE LA SUSCRIPCION DE LOS ACUERDOS DE PAZ",60,NA,NA,NA
112856,"60_1",403,"453.html",20061220,"PROYECTO DE DECRETO QUE REFORMA, ADICIONA Y DEROGA DIVERSAS DISPOSICIONES DEL CODIGO FISCAL DE LA FEDERACION; DE LAS LEYES DE LOS IMPUESTOS SOBRE LA RENTA, AL ACTIVO Y ESPECIAL SOBRE PRODUCCION Y SERVICIOS; DE LA LEY FEDERAL DEL IMPUESTO SOBRE AUTOMOVILES NUEVOS, Y DE LA LEY FEDERAL DE PROCEDIMIENTO CONTENCIOSO ADMINISTRATIVO",60,NA,NA,NA
113269,"60_1",404,"453.html",20061220,"PROYECTO DE DECRETO QUE REFORMA, ADICIONA Y DEROGA DIVERSAS DISPOSICIONES DEL CODIGO FISCAL DE LA FEDERACION; DE LAS LEYES DE LOS IMPUESTOS SOBRE LA RENTA, AL ACTIVO Y ESPECIAL SOBRE PRODUCCION Y SERVICIOS; DE LA LEY FEDERAL DEL IMPUESTO SOBRE AUTOMOVILES NUEVOS, Y DE LA LEY FEDERAL DE PROCEDIMIENTO CONTENCIOSO ADMINISTRATIVO",60,NA,NA,NA
113675,"60_1",405,"453.html",20061220,"PROYECTO DE DECRETO QUE REFORMA, ADICIONA Y DEROGA DIVERSAS DISPOSICIONES DEL CODIGO FISCAL DE LA FEDERACION; DE LAS LEYES DE LOS IMPUESTOS SOBRE LA RENTA, AL ACTIVO Y ESPECIAL SOBRE PRODUCCION Y SERVICIOS; DE LA LEY FEDERAL DEL IMPUESTO SOBRE AUTOMOVILES NUEVOS, Y DE LA LEY FEDERAL DE PROCEDIMIENTO CONTENCIOSO ADMINISTRATIVO",60,NA,NA,NA
114069,"60_1",406,"453.html",20061220,"PROYECTO DE DECRETO QUE REFORMA, ADICIONA Y DEROGA DIVERSAS DISPOSICIONES DEL CODIGO FISCAL DE LA FEDERACION; DE LAS LEYES DE LOS IMPUESTOS SOBRE LA RENTA, AL ACTIVO Y ESPECIAL SOBRE PRODUCCION Y SERVICIOS; DE LA LEY FEDERAL DEL IMPUESTO SOBRE AUTOMOVILES NUEVOS, Y DE LA LEY FEDERAL DE PROCEDIMIENTO CONTENCIOSO ADMINISTRATIVO",60,NA,NA,NA
114461,"60_1",407,"454.html",20061220,"DECRETO QUE REFORMA LA LEY DEL IMPUESTO ESPECIAL SOBRE PRODUCCION Y SERVICIOS",60,NA,NA,NA
114864,"60_1",408,"455.html",20061220,"DECRETO QUE REFORMA EL PRIMER PARRAFO DEL ARTICULO 21 DE LA LEY DE DESARROLLO RURAL SUSTENTABLE",60,NA,NA,NA
115230,"60_1",409,"456.html",20061220,"CONVENCION INTERNACIONAL CONTRA EL DOPAJE EN EL DEPORTE, ADOPTADA EN PARIS EL 19 DE OCTUBRE DE 2005",60,NA,NA,NA
115581,"60_1",410,"491.html",20061221,"PROYECTO DE LEY DE INGRESOS DE LA FEDERACION PARA EL EJERCICIO FISCAL DE 2007",60,NA,NA,NA
115985.9,"60_1",411,"491.html",20061221,"PROYECTO DE LEY DE INGRESOS DE LA FEDERACION PARA EL EJERCICIO FISCAL DE 2007 art reservado",60,NA,NA,NA
116343,"60_1",412,"492.html",20061221,"PROYECTO DE DECRETO QUE ADICIONA UN SEGUNDO PARRAFO AL ARTICULO DECIMO TERCERO TRANSITORIO DE LA LEY GENERAL DE BIENES NACIONALES",60,NA,NA,NA
116707,"60_1",413,"503.html",20061219,"LEY GENERAL DE ACCESO DE LAS MUJERES A UNA VIDA LIBRE DE VIOLENCIA",60,NA,NA,NA
117054,"60_1",414,"504.html",20061219,"DECRETO POR EL QUE SE REFORMAN LOS ARTICULOS 419, 420, 421 Y 422; Y SE ADICIONA UN ARTICULO 421 BIS DE LA LEY GENERAL DE SALUD",60,NA,NA,NA
117390,"60_1",415,"505.html",20061219,"PROYECTO DE DECRETO QUE REFORMA LOS ARTICULOS 29, 73, 90, 92, 93, 95, 110 Y 111 DE LA CONSTITUCION POLITICA DE LOS ESTADOS UNIDOS MEXICANOS",60,NA,NA,NA
117718,"60_1",416,"506.html",20061219,"PROYECTO DE DECRETO QUE REFORMA EL PRIMER PARRAFO DEL ARTICULO 108 DE LA CONSTITUCION POLITICA DE LOS ESTADOS UNIDOS MEXICANOS",60,NA,NA,NA
118031,"60_1",417,"507.html",20061219,"PROYECTO DE DECRETO QUE REFORMA LA FRACCION X DEL ARTICULO 73 DE LA CONSTITUCION POLITICA DE LOS ESTADOS UNIDOS MEXICANOS",60,NA,NA,NA
118346,"60_1",418,"508.html",20061219,"PROYECTO DE DECRETO POR EL QUE SE REFORMA LA FRACCION V DEL ARTICULO 55 DE LA CONSTITUCION POLITICA DE LOS ESTADOS UNIDOS MEXICANOS",60,NA,NA,NA
118637,"60_1",419,"509.html",20061219,"PROYECTO DE DECRETO QUE REFORMA LA FRACCION VI DEL ARTICULO 82 DE LA CONSTITUCION POLITICA DE LOS ESTADOS UNIDOS MEXICANOS",60,NA,NA,NA
118963,"60_1",420,"513.html",20061219,"DECRETO QUE REFORMA, ADICIONA Y DEROGA DIVERSAS DISPOSICIONES DE LA LEY FEDERAL DE DERECHOS",60,NA,NA,NA
119249,"60_1",421,"514.html",20061219,"DECRETO QUE REFORMA, ADICIONA Y DEROGA DIVERSAS DISPOSICIONES DE LA LEY DE COORDINACION FISCAL Y DE LA LEY FEDERAL DE PRESUPUESTO Y RESPONSABILIDAD HACENDARIA",60,NA,NA,NA
119539,"60_1",422,"571.html",20070208,"PROYECTO DE DECRETO POR EL QUE SE ADICIONA UNA FRACCION XXIX-N AL ARTICULO 73 DE LA CONSTITUCION POLITICA DE LOS ESTADOS UNIDOS MEXICANOS",60,NA,NA,NA
119893,"60_1",423,"601.html",20070213,"PROYECTO DE LEY PARA LA REFORMA DEL ESTADO",60,NA,NA,NA
120245,"60_1",424,"648.html",20070222,"TIT MISSING",60,NA,NA,NA
120604,"60_1",425,"657.html",20070220,"DECLARACIONES DE LOS ESTADOS UNIDOS MEXICANOS AL PROTOCOLO SOBRE CUESTIONES ESPECIFICAS DE LOS ELEMENTOS DE EQUIPO AERONAUTICO, DEL CONVENIO RELATIVO A GARANTIAS INTERNACIONALES SOBRE ELEMENTOS DE EQUIPO MOVIL Y LAS DECLARACIONES DE LOS ESTADOS UNIDOS MEXICANOS AL CONVENIO RELATIVO A GARANTIAS INTERNACIONALES SOBRE ELEMENTOS DE EQUIPO MOVIL, ADOPTADAS POR EL GOBIERNO DE MEXICO EL 16 DE NOVIEMBRE DE 2001, EN CIUDAD DEL CABO, EN EL MARCO DEL INSTITUTO INTERNACIONAL PARA LA UNIFICACION DEL DERECHO PRIVADO (UNIDROIT)",60,NA,NA,NA
120955,"60_1",426,"658.html",20070220,"DECRETO POR EL QUE SE REFORMAN, ADICIONAN Y DEROGAN DIVERSAS DISPOSICIONES DEL CODIGO PENAL FEDERAL, DEL CODIGO FEDERAL DE PROCEDIMIENTOS PENALES Y DE LA LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA, EN MATERIA DE EXPLOTACION SEXUAL INFANTIL",60,NA,NA,NA
121331,"60_1",427,"659.html",20070220,"PROYECTO DE DECRETO POR EL QUE SE REFORMAN Y ADICIONAN LOS ARTICULOS 267 Y 323 TER DEL CODIGO CIVIL FEDERAL",60,NA,NA,NA
121651,"60_1",428,"674.html",20070227,"PROYECTO DE DECRETO POR EL QUE SE CONCEDE AUTORIZACION AL PRESIDENTE DE LOS ESTADOS UNIDOS MEXICANOS, FELIPE DE JESUS CALDERON HINOJOSA, PARA AUSENTARSE DEL TERRITORIO NACIONAL LOS DIAS 2 Y 3 DE MARZO DE 2007, CON EL PROPOSITO DE REALIZAR UNA VISITA A LA CIUDAD DE GEORGETOWN, REPUBLICA COOPERATIVA DE GUYANA, PARA PARTICIPAR EN LA XIX REUNION DE JEFES DE ESTADO Y DE GOBIERNO DEL MECANISMO PERMANENTE DE CONSULTA Y CONCERTACION POLITICA, GRUPO DE RIO",60,NA,NA,NA
121969,"60_1",429,"685.html",20070227,"CONVENIO ENTRE EL GOBIERNO DE LOS ESTADOS UNIDOS MEXICANOS Y EL GOBIERNO DE CANADA PARA EVITAR LA DOBLE IMPOSICION Y PREVENIR LA EVASION FISCAL EN MATERIA DE IMPUESTOS SOBRE LA RENTA, FIRMADO EN LA CIUDAD DE MEXICO, EL 12 DE SEPTIEMBRE DE 2006",60,NA,NA,NA
122301,"60_1",430,"709.html",20070301,"RATIFICACION DE NOMBRAMIENTO DIPLOMATICO",60,NA,NA,NA
122627,"60_1",431,"720.html",20070301,"PROYECTO DE DECRETO POR EL QUE SE REFORMA EL ARTICULO 419 Y SE ADICIONA UN ARTICULO 48 BIS DE LA LEY GENERAL DE SALUD",60,NA,NA,NA
122934,"60_1",432,"739.html",20070306,"RATIFICACION DE NOMBRAMIENTOS DIPLOMATICOS",60,NA,NA,NA
123312,"60_1",433,"739.html",20070306,"RATIFICACION DE NOMBRAMIENTOS DIPLOMATICOS",60,NA,NA,NA
